amount,claims,age,policy_years,fraud
96307,4,55,3,1
83333,0,35,3,0
71344,2,58,11,0
56295,3,56,8,0
82637,8,43,4,1
51352,6,40,17,1
36945,8,43,17,0
84811,4,35,10,1
58387,1,59,6,0
46737,3,34,11,0
98726,6,46,16,1
89247,1,42,9,0
48793,4,68,16,0
76216,9,42,16,1
88553,2,66,14,0
4598,0,25,2,0
25228,7,48,10,0
90955,3,21,3,0
50717,6,25,16,1
51471,4,61,18,1
7780,8,69,20,0
51289,9,27,16,1
46026,2,46,15,0
14510,8,66,12,0
91162,5,50,11,1
4142,5,23,16,0
8127,7,31,12,0
67615,5,37,19,1
90696,3,26,11,0
99237,5,42,13,1
24225,0,46,14,0
44616,5,50,12,0
49151,7,28,16,0
86394,6,18,2,1
47590,5,67,10,0
86926,3,67,11,0
9006,4,68,13,0
68286,1,62,19,0
34256,10,46,3,0
97233,3,45,12,0
7009,7,33,13,0
35544,4,45,17,0
54972,9,42,8,1
24023,5,41,6,0
34548,0,45,4,0
95449,10,54,11,1
76559,9,48,16,1
40825,9,24,6,0
35065,5,61,11,0
92793,10,41,8,1
47836,1,22,11,0
50230,4,30,15,1
52998,0,47,11,0
72688,0,45,19,0
21528,1,34,8,0
77775,9,43,20,1
17535,10,34,13,0
35570,7,25,10,0
81416,9,30,10,1
66108,6,23,3,1
57514,10,42,17,1
1764,10,64,4,0
28087,5,25,9,0
31317,8,38,9,0
42821,8,26,4,0
74027,5,55,13,1
17216,3,18,16,0
60115,5,59,3,1
81280,5,50,15,1
51129,0,61,13,0
26298,4,50,19,0
7748,2,29,17,0
48451,5,60,20,0
12704,1,41,20,0
99003,6,70,15,1
39294,10,38,3,0
40889,2,31,9,0
45504,9,59,18,0
8480,10,21,10,0
92734,2,57,11,0
7579,3,21,2,0
54008,6,48,7,1
21753,9,41,10,0
49444,5,58,13,0
48980,1,27,3,0
20527,9,55,20,0
11691,0,29,13,0
68002,2,38,3,0
74170,5,54,14,1
62256,5,44,7,1
69815,2,25,19,0
85131,6,18,9,1
78101,7,36,17,1
63425,5,46,19,1
81355,5,36,5,1
16291,10,61,7,0
16340,3,31,1,0
41995,0,59,13,0
72090,5,40,2,1
69030,2,68,12,0
83022,4,23,15,1
89146,0,69,6,0
42152,5,61,7,0
92214,0,25,5,0
47128,10,69,20,0
65431,5,43,4,1
32995,6,42,11,0
55213,6,26,3,1
30345,1,67,6,0
32314,5,18,15,0
78968,5,57,15,1
34855,4,47,9,0
2376,10,52,13,0
34165,5,33,6,0
50711,8,38,15,1
21016,3,56,12,0
50566,10,56,14,1
33893,8,45,5,0
95768,7,21,13,1
92213,0,37,16,0
94324,0,36,9,0
5218,1,56,16,0
16255,2,59,16,0
88194,0,24,20,0
15221,1,55,16,0
8283,0,31,13,0
80017,1,42,11,0
25599,5,32,9,0
76133,5,62,8,1
61591,1,49,5,0
62261,3,49,7,0
62791,8,20,20,1
18960,10,42,19,0
30004,0,24,10,0
46682,10,18,3,0
43104,8,34,18,0
92770,10,60,18,1
22944,9,56,7,0
97195,9,60,10,1
96665,3,23,7,0
63480,8,55,6,1
90741,9,49,15,1
44957,1,35,20,0
44820,1,24,5,0
15608,3,69,17,0
20711,9,36,7,0
79105,2,50,5,0
24599,1,61,16,0
61515,6,56,9,1
44019,7,50,14,0
74751,5,52,13,1
80590,8,44,8,1
98016,6,30,9,1
45171,5,62,15,0
63825,8,27,17,1
46989,10,22,4,0
48712,6,61,8,0
13171,4,20,15,0
21490,4,28,12,0
84364,2,70,1,0
23609,4,37,14,0
52528,8,68,16,1
35595,5,45,7,0
60226,5,39,3,1
50712,6,21,14,1
25996,1,51,9,0
81613,4,31,20,1
73916,3,60,10,0
69603,1,65,19,0
52215,6,43,20,1
91540,9,60,18,1
44034,1,49,15,0
38628,3,59,4,0
47596,2,50,3,0
44000,3,61,20,0
13493,4,63,1,0
48216,1,26,6,0
17513,2,24,17,0
73876,7,46,17,1
95785,8,59,14,1
39402,8,68,3,0
91927,5,58,12,1
87797,1,47,1,0
31695,9,30,7,0
75109,3,51,2,0
26068,9,26,12,0
6127,2,19,13,0
52377,3,20,10,0
17829,7,45,17,0
13298,10,51,12,0
29287,9,61,11,0
89750,2,43,6,0
34500,2,59,6,0
94330,7,49,17,1
27016,5,27,18,0
90640,6,44,18,1
55097,4,67,3,1
58234,4,48,5,1
51121,1,42,8,0
11470,2,64,11,0
90840,3,51,11,0
30355,2,44,5,0
88608,7,65,10,1
2940,6,18,16,0
10653,9,44,16,0
37048,3,18,15,0
47074,1,44,14,0
48511,4,26,15,0
8063,3,52,11,0
41683,9,26,5,0
41643,10,27,7,0
39710,7,42,11,0
64206,6,41,20,1
20759,4,21,17,0
30156,2,37,11,0
66885,1,21,1,0
68105,10,29,9,1
34018,6,53,10,0
69658,3,24,10,0
29626,8,29,17,0
13581,0,70,18,0
88874,2,29,9,0
22368,2,28,18,0
51178,0,36,10,0
5511,5,51,8,0
34985,1,38,20,0
27812,10,25,10,0
75539,1,49,3,0
12394,7,52,11,0
66036,5,28,14,1
93488,2,52,6,0
58022,1,51,4,0
70982,2,42,19,0
93767,6,68,1,1
88240,10,31,4,1
67852,3,32,4,0
62346,10,44,14,1
31109,3,19,9,0
46133,9,42,4,0
96511,8,68,5,1
12644,4,21,8,0
49912,7,53,18,0
42061,3,35,20,0
98485,9,59,19,1
18753,9,48,17,0
68959,6,59,19,1
76883,6,51,1,1
2046,2,35,6,0
71146,9,36,9,1
12501,8,20,2,0
81961,3,28,20,0
92537,5,28,16,1
89964,9,63,1,1
75584,7,38,1,1
15928,6,18,13,0
83632,0,54,19,0
21982,0,37,15,0
21395,7,31,18,0
50634,8,25,10,1
19899,8,63,20,0
97351,2,53,16,0
86637,8,51,7,1
11539,10,68,11,0
62761,10,28,6,1
49543,9,39,4,0
47556,8,52,19,0
3011,9,52,12,0
45041,2,29,7,0
10597,1,36,5,0
34393,3,34,6,0
77294,10,64,14,1
48355,0,46,11,0
80902,7,34,20,1
9404,9,40,4,0
77412,7,41,9,1
57410,10,51,9,1
75632,6,33,5,1
47228,1,25,14,0
86728,10,48,18,1
15603,9,25,6,0
49607,3,62,3,0
70276,8,29,1,1
98979,5,21,12,1
17731,1,64,20,0
59827,5,20,6,1
40449,0,29,1,0
80566,4,29,13,1
29727,10,20,5,0
20214,9,59,19,0
73229,8,18,17,1
31941,6,24,15,0
81311,3,47,10,0
44709,10,49,9,0
76500,5,28,15,1
8554,9,56,5,0
4018,5,35,2,0
73746,4,45,16,1
54588,0,43,14,0
33647,9,65,10,0
75617,10,34,10,1
73098,10,32,1,1
82190,6,57,19,1
13706,5,47,15,0
65842,5,40,5,1
34597,0,25,18,0
79211,9,45,14,1
43563,8,19,18,0
20076,0,22,3,0
86429,8,55,6,1
77748,6,43,5,1
96261,9,43,1,1
55244,8,29,14,1
97926,5,26,8,1
31732,9,66,6,0
59511,3,43,12,0
5708,2,41,16,0
35036,9,39,16,0
97853,7,42,13,1
10602,3,69,6,0
56090,5,19,19,1
75065,3,20,2,0
90448,10,50,2,1
32739,2,46,3,0
62706,10,22,12,1
48118,3,28,15,0
89588,4,33,11,1
89079,2,42,7,0
71536,7,23,13,1
80381,3,36,7,0
2228,5,29,16,0
86237,9,21,9,1
1202,1,36,12,0
66582,8,63,15,1
77968,8,59,15,1
71279,6,33,4,1
80880,2,50,11,0
26893,4,31,6,0
4447,9,51,1,0
38085,9,47,19,0
79170,10,46,15,1
62322,3,31,11,0
96644,2,41,6,0
74350,1,20,6,0
15949,9,58,6,0
27269,0,22,19,0
60363,4,52,10,1
76543,3,32,16,0
70914,2,35,3,0
12121,3,44,7,0
92529,8,32,19,1
41184,7,51,10,0
69023,6,36,20,1
66586,3,24,5,0
26638,6,39,5,0
34363,10,67,5,0
40317,3,56,17,0
94610,0,68,15,0
20230,1,18,9,0
84515,4,21,4,1
46574,10,55,14,0
90925,8,23,8,1
42206,4,67,18,0
82588,1,21,9,0
50952,5,70,13,1
22452,7,70,18,0
6896,7,45,18,0
42261,9,42,8,0
87746,3,52,6,0
63116,5,66,18,1
35721,0,57,8,0
48323,3,38,11,0
26391,6,23,2,0
50125,1,69,17,0
70832,5,64,15,1
61620,7,35,7,1
67847,8,44,7,1
2232,5,62,10,0
61485,2,26,20,0
44794,3,53,7,0
97172,7,70,13,1
9173,5,20,18,0
98935,2,40,12,0
97937,5,65,9,1
76626,0,66,20,0
15634,1,25,8,0
16746,4,49,17,0
2967,8,70,5,0
84600,9,50,1,1
88006,7,40,1,1
21487,0,51,18,0
8795,3,59,2,0
48132,6,25,14,0
47785,4,30,6,0
98230,4,48,3,1
38705,5,63,9,0
67542,10,35,15,1
63699,4,53,12,1
81817,2,29,7,0
32501,3,39,13,0
81725,3,66,8,0
9994,7,64,18,0
50314,1,37,17,0
35390,1,67,7,0
28079,0,70,17,0
38867,6,27,15,0
23240,2,39,20,0
16837,6,65,16,0
96159,4,38,8,1
10935,10,26,17,0
41669,0,52,2,0
52445,2,50,9,0
4139,9,25,19,0
83163,3,54,6,0
94961,9,56,1,1
7199,6,44,3,0
35096,8,59,2,0
72943,2,27,3,0
53488,5,18,4,1
75220,1,70,9,0
36020,8,58,7,0
11736,1,49,17,0
87484,7,37,9,1
25339,8,30,20,0
71963,3,27,8,0
15451,4,18,15,0
86691,7,32,3,1
83744,6,29,14,1
93109,3,33,13,0
51216,6,43,8,1
81797,0,43,10,0
18304,1,26,19,0
51528,7,30,1,1
27348,7,46,13,0
80080,6,67,3,1
28572,8,22,15,0
6958,7,39,8,0
34393,6,61,20,0
40964,0,27,2,0
27467,4,50,2,0
58181,10,38,17,1
16240,10,62,3,0
2821,10,52,16,0
87357,5,24,12,1
79920,7,30,9,1
41952,6,54,17,0
57373,10,47,19,1
51343,2,42,5,0
65115,0,69,8,0
76543,1,50,12,0
41980,6,47,14,0
33680,0,47,20,0
49054,0,23,19,0
16952,10,43,11,0
37601,2,32,1,0
12595,9,44,10,0
33958,8,68,2,0
60224,0,29,15,0
94041,1,36,12,0
7521,1,58,16,0
72284,7,52,12,1
92013,9,53,10,1
4616,8,23,3,0
92852,9,59,9,1
83668,7,49,1,1
67694,10,27,13,1
67341,6,34,20,1
9228,6,62,16,0
69399,9,55,9,1
64725,5,31,17,1
45972,7,24,3,0
7433,9,31,19,0
54936,3,35,1,0
71164,3,39,11,0
17119,4,19,12,0
14017,1,43,5,0
12516,2,49,19,0
99175,5,44,18,1
92714,1,64,20,0
11198,0,65,3,0
38150,3,27,6,0
68554,9,28,11,1
55240,4,22,2,1
96641,5,61,14,1
55464,9,22,4,1
42874,2,46,3,0
26063,1,32,13,0
89942,10,24,11,1
73415,0,39,16,0
60337,4,29,6,1
94507,5,45,6,1
36168,10,28,5,0
23325,5,35,5,0
88886,1,46,3,0
42675,10,44,15,0
52236,6,47,5,1
24508,10,32,8,0
11035,7,65,19,0
57349,0,55,1,0
97006,7,23,10,1
74051,2,66,14,0
90717,7,58,15,1
19884,1,41,2,0
14435,4,30,2,0
76615,6,25,9,1
73670,8,50,4,1
51095,1,52,16,0
88734,1,19,18,0
44208,9,65,15,0
90579,3,27,17,0
52209,3,56,5,0
99512,2,57,20,0
46579,5,23,7,0
19554,1,35,11,0
85363,9,22,14,1
74567,5,43,18,1
88398,5,58,9,1
84445,2,29,1,0
92824,6,67,9,1
47873,8,20,10,0
50607,4,43,5,1
6919,1,55,6,0
32996,6,64,7,0
61939,10,20,1,1
55589,1,59,1,0
41971,8,54,17,0
45793,2,58,8,0
46417,5,32,11,0
27599,6,57,7,0
51052,2,18,5,0
97138,9,61,19,1
25495,9,50,20,0
18396,10,37,5,0
58673,0,56,2,0
4545,8,63,17,0
5845,7,24,12,0
11942,5,42,15,0
61456,10,53,17,1
2566,2,62,8,0
58533,1,57,7,0
51035,1,45,12,0
51778,3,40,1,0
76770,8,56,5,1
51907,4,58,20,1
82990,10,38,7,1
17151,9,38,7,0
20459,0,54,19,0
49438,6,32,11,0
78261,2,43,1,0
27837,9,44,3,0
76378,1,47,9,0
76503,5,53,18,1
25260,7,22,5,0
94973,5,66,12,1
67518,4,26,12,1
55324,8,22,13,1
96203,7,50,18,1
52857,10,67,16,1
1638,5,65,3,0
66745,0,21,7,0
10465,0,34,10,0
48629,4,55,15,0
37809,7,30,12,0
52676,8,47,14,1
10861,3,57,17,0
77615,6,47,5,1
5080,9,25,3,0
90673,0,31,14,0
82743,3,54,2,0
90884,3,20,6,0
91461,3,69,7,0
59584,8,70,9,1
66529,10,31,14,1
51840,3,54,4,0
49607,3,60,15,0
42553,10,35,6,0
58959,8,28,4,1
95392,7,38,13,1
46564,9,21,5,0
79639,0,45,1,0
94574,1,18,2,0
72326,1,34,6,0
65456,6,45,4,1
96414,8,29,14,1
54335,10,70,20,1
52411,1,50,9,0
32864,1,20,18,0
58307,5,54,14,1
17548,3,51,1,0
60101,7,45,16,1
35448,8,44,18,0
32897,8,26,10,0
1397,7,50,15,0
44616,8,62,15,0
22046,6,20,12,0
34194,3,30,6,0
5704,9,43,20,0
36584,9,27,13,0
39248,3,39,18,0
31607,4,51,7,0
79889,2,22,5,0
2723,10,55,3,0
65572,8,42,15,1
68287,5,39,17,1
50703,7,36,18,1
71768,4,25,2,1
40050,4,43,14,0
54038,7,62,4,1
70028,8,35,18,1
32333,4,26,17,0
63095,6,30,14,1
57572,4,32,2,1
9663,5,33,2,0
35608,1,57,2,0
54336,1,22,4,0
12124,10,69,7,0
19848,2,48,13,0
4707,2,51,4,0
22848,9,41,7,0
13030,6,25,14,0
15036,8,34,6,0
10644,9,28,19,0
47040,4,53,14,0
6002,6,52,15,0
97644,9,60,3,1
34851,4,41,19,0
6000,9,61,18,0
74361,4,43,18,1
96525,1,54,7,0
69639,1,69,20,0
3481,2,41,3,0
36084,3,31,2,0
87110,1,61,2,0
36025,2,56,7,0
75121,0,44,20,0
17066,9,60,16,0
73505,7,69,15,1
55787,3,27,11,0
68027,2,44,6,0
64816,7,51,17,1
62075,8,19,9,1
82139,8,49,10,1
36682,2,37,16,0
5248,6,48,1,0
21894,7,63,19,0
26145,4,30,7,0
60537,9,37,14,1
1011,9,64,14,0
98908,8,54,11,1
81702,8,59,12,1
33014,2,48,2,0
46311,9,54,7,0
55331,7,46,5,1
64397,6,47,16,1
24438,8,42,8,0
74117,10,23,13,1
53230,10,39,20,1
60228,2,34,15,0
4316,7,28,19,0
9977,2,32,10,0
42945,7,39,12,0
17105,3,49,10,0
99192,7,68,16,1
24810,7,53,19,0
81995,4,23,15,1
48678,6,33,14,0
42229,8,63,17,0
7750,4,67,2,0
54888,6,45,20,1
94222,2,32,15,0
68080,6,34,15,1
44421,6,58,19,0
1680,7,57,13,0
61884,7,31,6,1
14776,5,60,12,0
46229,8,37,13,0
47703,4,69,4,0
94321,7,24,12,1
86730,3,19,15,0
30478,8,61,7,0
21112,4,53,4,0
3750,10,65,15,0
23531,7,34,4,0
74379,6,45,11,1
98167,5,21,20,1
4933,5,34,7,0
56904,2,53,5,0
93862,7,27,19,1
48753,8,19,18,0
1058,2,36,12,0
51880,8,48,2,1
11976,3,64,13,0
69043,1,64,3,0
69649,7,54,10,1
41805,9,58,8,0
12275,5,23,12,0
54996,10,50,3,1
86029,0,41,17,0
93565,4,42,1,1
91747,2,48,14,0
6894,2,24,2,0
40926,1,44,18,0
82720,2,27,18,0
4715,0,47,4,0
73172,8,41,6,1
58832,8,40,5,1
83549,1,59,8,0
52766,9,32,18,1
30543,5,29,11,0
45641,2,22,1,0
97901,4,57,19,1
39259,5,34,12,0
78743,7,46,19,1
28775,2,56,3,0
45441,3,47,17,0
86755,9,66,18,1
89176,0,18,16,0
9822,1,24,7,0
84279,9,28,11,1
50145,1,28,3,0
37990,3,50,4,0
52944,4,42,19,1
7409,10,30,7,0
78183,8,27,6,1
50649,6,27,13,1
35996,5,47,15,0
78363,3,51,10,0
96685,0,41,19,0
59460,8,61,1,1
77613,0,21,15,0
97352,8,35,19,1
21966,10,59,18,0
40244,8,39,8,0
18931,9,50,19,0
22349,2,24,4,0
67400,4,64,16,1
14623,10,64,3,0
58222,10,21,15,1
86110,7,52,18,1
81787,4,30,14,1
16384,7,55,11,0
28042,4,56,4,0
51317,4,53,18,1
61779,7,18,2,1
82152,3,47,16,0
54375,0,22,16,0
25532,1,35,8,0
67851,10,29,12,1
34317,1,29,9,0
19686,6,43,18,0
63177,8,20,19,1
20685,3,30,9,0
31896,4,42,17,0
89537,6,50,19,1
51907,1,38,20,0
91505,7,27,5,1
8671,3,57,18,0
53424,8,41,11,1
80773,7,33,7,1
81141,9,70,8,1
92981,4,42,5,1
2402,4,36,1,0
40163,5,62,5,0
86292,1,27,10,0
1970,2,63,15,0
52616,4,36,5,1
96036,0,36,13,0
79436,3,22,15,0
25288,6,63,12,0
40578,9,61,16,0
81927,3,30,19,0
89201,1,47,12,0
43449,0,40,11,0
72709,0,40,14,0
40238,7,52,19,0
44864,9,21,10,0
6051,5,42,15,0
8474,7,33,13,0
13487,9,57,3,0
81464,7,30,3,1
73408,1,31,14,0
30015,10,54,14,0
52436,8,61,10,1
56986,4,65,8,1
86670,0,44,4,0
81556,6,52,6,1
47816,3,34,16,0
45362,3,27,14,0
47307,9,38,10,0
64823,2,39,9,0
41758,9,37,11,0
63331,7,38,1,1
16432,8,26,8,0
23945,3,55,5,0
71683,9,31,14,1
83577,0,24,5,0
75938,6,40,11,1
96503,4,47,19,1
61488,0,23,17,0
83432,6,68,18,1
95296,3,18,17,0
50621,1,55,11,0
87267,3,46,16,0
49505,6,29,13,0
8471,4,55,5,0
5468,9,24,20,0
83253,4,40,11,1
32102,2,59,17,0
14045,7,37,9,0
61376,7,48,5,1
90984,4,20,12,1
45732,5,33,16,0
26851,8,53,13,0
43241,7,56,20,0
27134,5,53,18,0
80177,4,54,19,1
96701,1,50,12,0
77115,10,46,3,1
22895,6,19,7,0
1633,3,19,7,0
99569,10,32,7,1
33723,9,70,7,0
43186,5,33,18,0
32291,0,67,2,0
80062,9,69,14,1
48716,6,45,8,0
91551,10,35,4,1
35800,0,47,20,0
62217,9,24,12,1
64507,10,41,19,1
23938,9,49,6,0
10234,1,68,13,0
46864,3,35,12,0
49710,0,32,7,0
28991,1,35,6,0
16059,5,35,13,0
8227,6,46,13,0
62984,2,70,15,0
30074,5,69,3,0
61033,9,23,7,1
80866,10,35,5,1
17742,1,48,11,0
48409,2,42,13,0
88689,3,32,2,0
24508,8,32,11,0
28570,6,43,20,0
79995,9,40,17,1
54506,3,18,2,0
91041,2,61,14,0
4319,9,51,9,0
43030,9,28,16,0
96641,8,46,6,1
72439,6,59,9,1
69724,9,18,14,1
87543,10,59,17,1
56867,7,60,15,1
16029,10,65,18,0
99424,0,29,7,0
16088,6,55,2,0
45073,4,19,10,0
89020,1,62,14,0
30146,2,61,10,0
99210,9,62,1,1
90071,9,38,4,1
45483,10,57,3,0
80501,9,49,8,1
27206,8,34,9,0
77298,0,64,18,0
38972,3,25,17,0
93933,3,62,20,0
10848,6,30,17,0
60273,8,52,14,1
66100,1,57,10,0
72980,4,32,9,1
98310,2,65,15,0
81655,0,20,16,0
29343,6,56,17,0
40844,9,60,9,0
25252,2,43,20,0
64184,6,30,4,1
19507,3,54,10,0
17095,8,47,9,0
30439,4,40,7,0
59597,3,70,9,0
75612,6,63,19,1
58921,6,39,5,1
86843,9,31,18,1
88351,4,45,9,1
45386,7,23,8,0
46403,2,57,17,0
53761,8,57,18,1
40125,9,61,10,0
9984,5,48,6,0
59642,5,19,20,1
95051,8,30,3,1
5196,10,55,15,0
30519,3,70,18,0
78606,3,47,3,0
16721,3,37,9,0
49753,4,52,19,0
57241,5,69,18,1
2850,5,53,17,0
49072,6,29,16,0
12587,7,43,19,0
58907,10,47,12,1
95810,0,40,8,0
43152,7,18,20,0
34357,9,33,2,0
10936,7,33,16,0
14084,7,29,1,0
43662,1,70,1,0
30371,7,46,16,0
65339,0,21,13,0
77105,5,61,9,1
17980,9,57,16,0
33102,6,42,2,0
36538,5,68,2,0
41887,4,47,16,0
20396,0,22,2,0
92105,7,37,2,1
52171,0,64,19,0
59585,5,22,5,1
12795,9,33,17,0
70304,0,28,3,0
36932,0,46,2,0
82462,2,41,18,0
81371,9,58,4,1
69590,4,35,6,1
24247,2,40,2,0
57536,4,57,19,1
23447,6,68,16,0
34556,1,44,15,0
62918,8,19,14,1
60757,0,44,11,0
25134,6,34,19,0
40378,7,45,20,0
37090,2,54,2,0
46721,8,25,1,0
13645,10,45,2,0
86116,0,45,9,0
15427,9,36,5,0
48701,10,63,1,0
94684,5,61,19,1
35523,0,64,3,0
96996,0,47,17,0
34794,6,46,7,0
40654,1,48,16,0
31883,0,29,5,0
2742,9,46,4,0
6826,10,54,12,0
46532,0,32,1,0
1964,4,42,6,0
44260,9,55,10,0
53413,8,25,7,1
88381,6,60,4,1
64843,6,31,4,1
13546,10,39,2,0
74016,5,35,3,1
51293,4,31,13,1
48998,6,37,10,0
93758,3,40,18,0
74797,1,40,16,0
6394,9,63,4,0
69620,5,35,20,1
11253,6,36,7,0
11896,0,30,19,0
43816,4,69,11,0
22782,2,43,1,0
81346,1,39,8,0
98215,1,41,9,0
16594,3,56,15,0
66997,9,56,19,1
54446,6,54,5,1
16344,5,68,14,0
10219,4,27,10,0
94077,5,63,4,1
94907,1,26,1,0
35487,7,50,7,0
82492,4,50,7,1
55364,2,61,18,0
10456,0,36,16,0
25002,5,32,10,0
20007,3,43,16,0
28116,2,67,16,0
15792,8,23,5,0
45083,6,57,20,0
25521,9,44,16,0
49688,3,52,3,0
88250,1,25,20,0
51287,3,37,15,0
21495,3,41,20,0
16493,1,51,20,0
27067,2,64,9,0
22800,8,28,6,0
91209,7,40,14,1
21162,10,58,18,0
41278,4,26,17,0
67387,2,52,3,0
26614,6,20,15,0
84242,9,43,5,1
36242,3,41,20,0
24896,4,63,6,0
99358,6,21,9,1
52141,7,24,11,1
99746,0,70,18,0
1122,8,31,15,0
38841,9,65,10,0
46918,8,59,15,0
29052,1,31,11,0
24397,5,65,15,0
10426,7,70,7,0
73881,0,61,13,0
49985,4,37,6,0
55486,3,54,3,0
7052,10,61,15,0
71284,0,30,16,0
46081,5,32,5,0
12550,9,47,2,0
88635,1,25,8,0
29494,6,60,7,0
41624,9,48,20,0
13596,3,25,19,0
82088,5,48,11,1
30152,9,23,1,0
29267,5,20,19,0
24845,0,24,11,0
1177,10,25,11,0
7170,5,22,7,0
95895,1,62,7,0
73141,5,50,16,1
27483,3,46,2,0
67510,2,46,1,0
16841,6,40,4,0
29643,2,54,6,0
46974,5,57,8,0
96424,7,51,17,1
15999,1,29,10,0
1124,10,57,16,0
52969,7,67,5,1
70621,1,30,17,0
87274,4,31,14,1
61313,9,38,3,1
97339,5,57,20,1
87890,2,43,2,0
35733,9,46,9,0
4461,4,45,8,0
9762,4,34,17,0
55885,9,68,9,1
41442,5,69,12,0
17545,6,34,19,0
16114,6,63,1,0
72819,10,45,18,1
23238,3,22,11,0
29014,8,53,1,0
54624,3,43,15,0
74137,2,59,1,0
7707,10,42,9,0
42436,9,69,12,0
59806,8,57,15,1
15671,4,21,2,0
37933,7,42,1,0
17492,9,40,3,0
71631,0,31,3,0
13040,4,29,16,0
18404,3,19,1,0
80821,3,40,12,0
1406,3,61,20,0
97721,9,22,8,1
53109,1,36,9,0
69636,3,51,3,0
62966,8,19,12,1
6359,7,57,20,0
59015,7,38,17,1
39646,0,56,2,0
66066,1,23,7,0
43025,2,19,6,0
46292,7,69,4,0
93816,1,46,8,0
67427,4,41,18,1
73496,6,61,14,1
16751,10,67,15,0
7843,8,40,19,0
97709,3,22,8,0
41003,3,19,20,0
16115,7,46,14,0
47440,8,56,11,0
7061,7,57,11,0
40986,3,50,12,0
54615,5,31,10,1
98773,4,58,9,1
78884,3,64,19,0
56320,1,28,10,0
21844,1,55,12,0
67647,6,50,4,1
47672,6,24,9,0
88460,1,45,3,0
68090,0,60,1,0
91326,4,62,7,1
9736,7,40,17,0
5825,7,44,3,0
86211,1,18,6,0
96559,1,44,9,0
34896,10,53,5,0
61356,3,30,10,0
31482,7,42,16,0
72279,2,68,1,0
44363,8,65,20,0
87662,3,26,18,0
95292,1,35,13,0
43970,1,44,19,0
40335,9,42,15,0
78611,10,59,4,1
36199,8,21,13,0
35806,9,70,11,0
34249,0,47,9,0
81123,5,22,16,1
17407,7,53,18,0
24503,10,50,9,0
95928,2,66,3,0
28824,1,27,16,0
27077,0,67,2,0
86623,8,32,20,1
38939,5,57,15,0
17503,7,45,17,0
43488,8,29,6,0
97879,7,56,20,1
98910,6,70,15,1
62888,9,62,8,1
8133,4,68,9,0
24475,9,21,16,0
57681,5,31,2,1
89165,0,19,14,0
28511,8,18,10,0
71069,0,41,15,0
39084,3,52,6,0
85918,7,70,6,1
23729,5,46,13,0
36120,9,18,7,0
19392,2,27,7,0
16326,6,27,5,0
84499,0,54,19,0
92808,8,42,7,1
14352,9,46,11,0
57730,4,47,8,1
66618,5,68,13,1
72949,2,31,5,0
12311,7,55,16,0
19486,6,39,15,0
37091,3,46,3,0
22960,5,59,6,0
42326,1,37,4,0
20613,1,32,4,0
54801,2,57,13,0
72863,3,33,7,0
29630,4,23,20,0
9111,5,59,15,0
21092,7,31,5,0
38970,1,30,4,0
74609,9,32,7,1
11578,2,22,14,0
77043,10,64,4,1
50979,10,50,20,1
80572,4,36,1,1
24523,0,20,19,0
75654,1,46,19,0
84152,4,50,4,1
66840,4,46,14,1
82682,7,58,20,1
39510,0,44,10,0
4711,5,24,8,0
67283,0,67,20,0
84506,8,58,12,1
75989,0,28,20,0
23253,0,26,19,0
92480,0,34,19,0
32889,5,57,15,0
65786,7,18,6,1
84358,1,51,18,0
90873,3,63,17,0
39830,3,61,9,0
20079,8,67,17,0
86392,10,69,1,1
27155,4,65,20,0
64414,4,70,19,1
25708,7,26,18,0
29729,8,49,5,0
34462,8,58,19,0
28300,9,27,14,0
71665,7,34,2,1
98899,8,60,17,1
69980,1,53,3,0
62114,9,41,5,1
72354,2,46,5,0
17184,7,34,13,0
26792,9,62,19,0
24823,2,50,16,0
2852,10,65,5,0
99056,1,39,17,0
14555,8,47,20,0
96684,7,54,11,1
3837,7,66,6,0
90836,4,31,13,1
57125,0,68,9,0
35081,6,53,14,0
88223,1,63,19,0
70624,8,67,6,1
61999,4,26,4,1
70647,9,65,16,1
30341,8,60,9,0
55959,3,18,10,0
34421,8,60,10,0
17296,6,49,19,0
90249,1,68,20,0
8255,5,28,11,0
17710,5,67,3,0
31118,0,34,19,0
39054,5,20,18,0
88222,1,62,1,0
28299,9,35,6,0
53560,2,54,5,0
12806,10,49,13,0
10376,8,60,1,0
36991,0,19,16,0
53445,6,54,10,1
11114,10,20,5,0
88286,6,25,12,1
76520,10,49,17,1
94079,6,58,2,1
55415,2,46,13,0
53590,8,22,7,1
44644,4,67,13,0
37809,2,62,10,0
94793,5,23,10,1
30565,4,19,4,0
84245,10,25,7,1
48249,0,60,14,0
30518,7,19,3,0
35697,0,31,1,0
21873,3,57,11,0
8614,5,57,3,0
17786,9,58,15,0
26905,3,47,5,0
33133,9,32,3,0
68667,0,67,6,0
37079,3,54,16,0
16397,10,70,9,0
47703,10,46,11,0
86537,5,63,5,1
83368,6,49,6,1
11996,5,18,15,0
19286,2,65,13,0
46423,9,33,11,0
96744,6,25,12,1
16532,4,35,9,0
91692,9,33,11,1
99640,0,22,20,0
97978,0,44,14,0
77149,6,43,5,1
75327,10,30,3,1
39242,10,58,1,0
67246,5,20,2,1
11153,1,19,7,0
9021,1,22,19,0
92165,3,61,14,0
92884,1,46,5,0
17009,10,25,2,0
95653,3,25,2,0
23620,7,38,13,0
59741,5,20,3,1
83642,7,65,3,1
50521,3,46,8,0
30044,9,42,1,0
